time,asset,netValue
2005-05-09 00:00:00,95883940.14285715,0.9588394014285715
2005-05-10 00:00:00,96264796.57142858,0.9626479657142858
2005-05-11 00:00:00,96070446.38095239,0.9607044638095239
2005-05-12 00:00:00,95410067.38095239,0.9541006738095239
2005-05-13 00:00:00,95956592.38095239,0.9595659238095239
2005-05-16 00:00:00,95086997.1904762,0.950869971904762
2005-05-17 00:00:00,96009949.1904762,0.960099491904762
2005-05-18 00:00:00,97026715.1904762,0.970267151904762
2005-05-19 00:00:00,97086911.1904762,0.970869111904762
2005-05-20 00:00:00,96520302.1904762,0.9652030219047619
2005-05-23 00:00:00,93226951.1904762,0.9322695119047619
2005-05-24 00:00:00,95344807.1904762,0.953448071904762
2005-05-25 00:00:00,95669470.1904762,0.9566947019047619
2005-05-26 00:00:00,94813820.1904762,0.948138201904762
2005-05-27 00:00:00,93783733.1904762,0.9378373319047619
2005-05-30 00:00:00,94445411.1904762,0.9444541119047619
2005-05-31 00:00:00,94261592.1904762,0.942615921904762
2005-06-01 00:00:00,91928320.1904762,0.919283201904762
2005-06-02 00:00:00,90633123.1904762,0.906331231904762
2005-06-03 00:00:00,90580840.1904762,0.905808401904762
2005-06-06 00:00:00,92279182.1904762,0.9227918219047619
2005-06-07 00:00:00,92624390.1904762,0.9262439019047619
2005-06-08 00:00:00,100623587.1904762,1.006235871904762
2005-06-09 00:00:00,101627546.1904762,1.016275461904762
2005-06-10 00:00:00,99217166.1904762,0.9921716619047619
2005-06-13 00:00:00,100467113.1904762,1.0046711319047619
2005-06-14 00:00:00,97940858.1904762,0.979408581904762
2005-06-15 00:00:00,95160903.1904762,0.951609031904762
2005-06-16 00:00:00,96526045.1904762,0.965260451904762
2005-06-17 00:00:00,95637798.1904762,0.956377981904762
2005-06-20 00:00:00,98719916.1904762,0.987199161904762
2005-06-21 00:00:00,97733317.1904762,0.977333171904762
2005-06-22 00:00:00,98125179.1904762,0.981251791904762
2005-06-23 00:00:00,96891624.1904762,0.9689162419047619
2005-06-24 00:00:00,97880955.1904762,0.9788095519047619
2005-06-27 00:00:00,100727169.1904762,1.007271691904762
2005-06-28 00:00:00,98595615.1904762,0.9859561519047619
2005-06-29 00:00:00,98525103.1904762,0.9852510319047619
2005-06-30 00:00:00,95710594.1904762,0.957105941904762
2005-07-01 00:00:00,91991302.1904762,0.919913021904762
2005-07-04 00:00:00,90547952.1904762,0.9054795219047619
2005-07-05 00:00:00,89780121.1904762,0.8978012119047619
2005-07-06 00:00:00,89756811.1904762,0.8975681119047619
2005-07-07 00:00:00,90472140.1904762,0.9047214019047619
2005-07-08 00:00:00,87050050.1904762,0.8705005019047619
2005-07-11 00:00:00,85436199.1904762,0.8543619919047619
2005-07-12 00:00:00,89280737.1904762,0.8928073719047619
2005-07-13 00:00:00,89059876.1904762,0.890598761904762
2005-07-14 00:00:00,89299838.1904762,0.892998381904762
2005-07-15 00:00:00,87916843.1904762,0.8791684319047619
2005-07-18 00:00:00,85412306.1904762,0.854123061904762
2005-07-19 00:00:00,85842782.1904762,0.858427821904762
2005-07-20 00:00:00,86183315.1904762,0.861833151904762
2005-07-21 00:00:00,85552119.1904762,0.855521191904762
2005-07-22 00:00:00,87734694.1904762,0.8773469419047619
2005-07-25 00:00:00,87520877.1904762,0.875208771904762
2005-07-26 00:00:00,89952949.1904762,0.899529491904762
2005-07-27 00:00:00,92064169.1904762,0.920641691904762
2005-07-28 00:00:00,91717193.1904762,0.917171931904762
2005-07-29 00:00:00,91545898.1904762,0.9154589819047619
2005-08-01 00:00:00,92218044.1904762,0.9221804419047619
2005-08-02 00:00:00,93822641.1904762,0.938226411904762
2005-08-03 00:00:00,95034897.1904762,0.950348971904762
2005-08-04 00:00:00,94191980.1904762,0.941919801904762
2005-08-05 00:00:00,97021862.1904762,0.9702186219047619
2005-08-08 00:00:00,98612438.1904762,0.9861243819047619
2005-08-09 00:00:00,100385596.1904762,1.003855961904762
2005-08-10 00:00:00,101830376.1904762,1.018303761904762
2005-08-11 00:00:00,103652014.1904762,1.036520141904762
2005-08-12 00:00:00,101208779.1904762,1.012087791904762
2005-08-15 00:00:00,104314513.1904762,1.043145131904762
2005-08-16 00:00:00,104269978.1904762,1.0426997819047619
2005-08-17 00:00:00,106543935.1904762,1.065439351904762
2005-08-18 00:00:00,101707992.1904762,1.017079921904762
2005-08-19 00:00:00,101723291.1904762,1.0172329119047618
2005-08-22 00:00:00,103339042.1904762,1.033390421904762
2005-08-23 00:00:00,101751266.1904762,1.0175126619047619
2005-08-24 00:00:00,103149907.1904762,1.0314990719047619
2005-08-25 00:00:00,104471873.1904762,1.044718731904762
2005-08-26 00:00:00,105016635.1904762,1.050166351904762
2005-08-29 00:00:00,103099958.1904762,1.030999581904762
2005-08-30 00:00:00,101700106.1904762,1.017001061904762
2005-08-31 00:00:00,101727222.38095239,1.017272223809524
2005-09-01 00:00:00,105993701.361678,1.05993701361678
2005-09-02 00:00:00,106942396.361678,1.06942396361678
2005-09-05 00:00:00,109460804.361678,1.09460804361678
2005-09-06 00:00:00,104546495.361678,1.04546495361678
2005-09-07 00:00:00,108687853.361678,1.08687853361678
2005-09-08 00:00:00,108376156.361678,1.08376156361678
2005-09-09 00:00:00,106702928.361678,1.06702928361678
2005-09-12 00:00:00,108161722.361678,1.08161722361678
2005-09-13 00:00:00,112161741.361678,1.12161741361678
2005-09-14 00:00:00,113211476.361678,1.13211476361678
2005-09-15 00:00:00,113535829.361678,1.13535829361678
2005-09-16 00:00:00,114177837.361678,1.1417783736167801
