time,asset,netValue
2005-05-09 00:00:00,95039717.14285715,0.9503971714285715
2005-05-10 00:00:00,95631637.95238096,0.9563163795238095
2005-05-11 00:00:00,95451175.95238096,0.9545117595238095
2005-05-12 00:00:00,95349485.95238096,0.9534948595238095
2005-05-13 00:00:00,96342215.76190476,0.9634221576190476
2005-05-16 00:00:00,96412460.57142858,0.9641246057142858
2005-05-17 00:00:00,97837342.57142858,0.9783734257142859
2005-05-18 00:00:00,98944061.57142858,0.9894406157142859
2005-05-19 00:00:00,98611095.57142858,0.9861109557142859
2005-05-20 00:00:00,97054867.57142858,0.9705486757142858
2005-05-23 00:00:00,92481885.57142858,0.9248188557142858
2005-05-24 00:00:00,95996515.57142858,0.9599651557142859
2005-05-25 00:00:00,96878116.57142858,0.9687811657142859
2005-05-26 00:00:00,96141454.57142858,0.9614145457142859
2005-05-27 00:00:00,95906566.57142858,0.9590656657142859
2005-05-30 00:00:00,97708620.57142858,0.9770862057142858
2005-05-31 00:00:00,97733223.57142858,0.9773322357142858
2005-06-01 00:00:00,94982113.57142858,0.9498211357142858
2005-06-02 00:00:00,94444009.57142858,0.9444400957142858
2005-06-03 00:00:00,94114175.57142858,0.9411417557142858
2005-06-06 00:00:00,95728165.57142858,0.9572816557142858
2005-06-07 00:00:00,96674320.57142858,0.9667432057142858
2005-06-08 00:00:00,107277307.57142858,1.072773075714286
2005-06-09 00:00:00,109933234.57142858,1.0993323457142858
2005-06-10 00:00:00,107725781.57142858,1.0772578157142858
2005-06-13 00:00:00,108674650.57142858,1.0867465057142858
2005-06-14 00:00:00,105255240.57142858,1.0525524057142859
2005-06-15 00:00:00,100352004.57142858,1.0035200457142859
2005-06-16 00:00:00,101356324.57142858,1.0135632457142858
2005-06-17 00:00:00,101263045.57142858,1.0126304557142858
2005-06-20 00:00:00,105396252.57142858,1.0539625257142857
2005-06-21 00:00:00,104734395.57142858,1.0473439557142858
2005-06-22 00:00:00,104919963.57142858,1.0491996357142859
2005-06-23 00:00:00,103053731.57142858,1.0305373157142859
2005-06-24 00:00:00,103907261.57142858,1.0390726157142858
2005-06-27 00:00:00,107747656.57142858,1.0774765657142857
2005-06-28 00:00:00,104049949.57142858,1.040499495714286
2005-06-29 00:00:00,103331157.57142858,1.033311575714286
2005-06-30 00:00:00,98730622.57142858,0.9873062257142858
2005-07-01 00:00:00,92356428.57142858,0.9235642857142858
2005-07-04 00:00:00,90298708.57142858,0.9029870857142859
2005-07-05 00:00:00,89864739.57142858,0.8986473957142859
2005-07-06 00:00:00,89506800.57142858,0.8950680057142858
2005-07-07 00:00:00,90093167.57142858,0.9009316757142858
2005-07-08 00:00:00,85553843.57142858,0.8555384357142858
2005-07-11 00:00:00,84342832.57142858,0.8434283257142858
2005-07-12 00:00:00,88540992.57142858,0.8854099257142858
2005-07-13 00:00:00,87671249.57142858,0.8767124957142858
2005-07-14 00:00:00,87070536.57142858,0.8707053657142858
2005-07-15 00:00:00,84238634.57142858,0.8423863457142858
2005-07-18 00:00:00,81726379.57142858,0.8172637957142859
2005-07-19 00:00:00,82731340.57142858,0.8273134057142858
2005-07-20 00:00:00,83157300.57142858,0.8315730057142858
2005-07-21 00:00:00,82694084.57142858,0.8269408457142858
2005-07-22 00:00:00,85595700.57142858,0.8559570057142858
2005-07-25 00:00:00,85557686.57142858,0.8555768657142858
2005-07-26 00:00:00,88158094.57142858,0.8815809457142858
2005-07-27 00:00:00,90444850.57142858,0.9044485057142858
2005-07-28 00:00:00,89996568.57142858,0.8999656857142858
2005-07-29 00:00:00,89365450.57142858,0.8936545057142858
2005-08-01 00:00:00,90382087.57142858,0.9038208757142858
2005-08-02 00:00:00,92223809.57142858,0.9222380957142858
2005-08-03 00:00:00,94154949.57142858,0.9415494957142858
2005-08-04 00:00:00,93049324.57142858,0.9304932457142858
2005-08-05 00:00:00,96542892.57142858,0.9654289257142858
2005-08-08 00:00:00,98098076.57142858,0.9809807657142858
2005-08-09 00:00:00,101165646.57142858,1.011656465714286
2005-08-10 00:00:00,102798788.57142858,1.027987885714286
2005-08-11 00:00:00,104788797.57142858,1.0478879757142858
2005-08-12 00:00:00,102573206.57142858,1.0257320657142859
2005-08-15 00:00:00,106046039.57142858,1.0604603957142857
2005-08-16 00:00:00,107228627.57142858,1.072286275714286
2005-08-17 00:00:00,109536543.57142858,1.095365435714286
2005-08-18 00:00:00,104689690.57142858,1.0468969057142858
2005-08-19 00:00:00,104558903.57142858,1.0455890357142859
2005-08-22 00:00:00,105678411.57142858,1.0567841157142859
2005-08-23 00:00:00,102962638.57142858,1.0296263857142858
2005-08-24 00:00:00,104994359.57142858,1.0499435957142857
2005-08-25 00:00:00,107577849.57142858,1.0757784957142857
2005-08-26 00:00:00,108905470.57142858,1.0890547057142859
2005-08-29 00:00:00,109030769.57142858,1.0903076957142859
2005-08-30 00:00:00,107434462.57142858,1.074344625714286
2005-08-31 00:00:00,107455946.76190478,1.0745594676190477
2005-09-01 00:00:00,112894618.38435374,1.1289461838435375
2005-09-02 00:00:00,114464857.38435374,1.1446485738435375
2005-09-05 00:00:00,117457791.38435374,1.1745779138435375
2005-09-06 00:00:00,112116996.38435374,1.1211699638435375
2005-09-07 00:00:00,117025402.38435374,1.1702540238435375
2005-09-08 00:00:00,116787525.38435374,1.1678752538435375
2005-09-09 00:00:00,114486068.38435374,1.1448606838435373
2005-09-12 00:00:00,116612109.38435374,1.1661210938435373
2005-09-13 00:00:00,120911354.38435374,1.2091135438435374
2005-09-14 00:00:00,122146226.38435374,1.2214622638435375
