time,asset,netValue
2005-05-09 00:00:00,95423875.71428573,0.9542387571428573
2005-05-10 00:00:00,96043386.95238097,0.9604338695238097
2005-05-11 00:00:00,95694680.95238097,0.9569468095238097
2005-05-12 00:00:00,95373743.95238097,0.9537374395238097
2005-05-13 00:00:00,96426458.95238097,0.9642645895238097
2005-05-16 00:00:00,96211803.95238097,0.9621180395238097
2005-05-17 00:00:00,97411783.95238097,0.9741178395238097
2005-05-18 00:00:00,98367177.95238097,0.9836717795238097
2005-05-19 00:00:00,98627018.95238097,0.9862701895238097
2005-05-20 00:00:00,97312703.95238097,0.9731270395238097
2005-05-23 00:00:00,93678348.95238097,0.9367834895238097
2005-05-24 00:00:00,96253487.95238097,0.9625348795238097
2005-05-25 00:00:00,97001914.95238097,0.9700191495238097
2005-05-26 00:00:00,95993587.95238097,0.9599358795238097
2005-05-27 00:00:00,95313844.95238097,0.9531384495238097
2005-05-30 00:00:00,96492294.95238097,0.9649229495238097
2005-05-31 00:00:00,96307569.95238097,0.9630756995238097
2005-06-01 00:00:00,94188291.95238097,0.9418829195238096
2005-06-02 00:00:00,93025380.95238097,0.9302538095238096
2005-06-03 00:00:00,92348423.95238097,0.9234842395238096
2005-06-06 00:00:00,93893809.95238097,0.9389380995238097
2005-06-07 00:00:00,94703740.95238097,0.9470374095238097
2005-06-08 00:00:00,103016210.95238097,1.0301621095238096
2005-06-09 00:00:00,104041271.95238097,1.0404127195238098
2005-06-10 00:00:00,101397313.95238097,1.0139731395238096
2005-06-13 00:00:00,102391904.95238097,1.0239190495238097
2005-06-14 00:00:00,99597952.95238097,0.9959795295238097
2005-06-15 00:00:00,96029198.95238097,0.9602919895238097
2005-06-16 00:00:00,97300998.95238097,0.9730099895238097
2005-06-17 00:00:00,96948835.95238097,0.9694883595238097
2005-06-20 00:00:00,99972363.95238097,0.9997236395238097
2005-06-21 00:00:00,98646976.95238097,0.9864697695238097
2005-06-22 00:00:00,99423294.95238097,0.9942329495238097
2005-06-23 00:00:00,98173492.95238097,0.9817349295238097
2005-06-24 00:00:00,98961601.95238097,0.9896160195238097
2005-06-27 00:00:00,101425535.95238097,1.0142553595238097
2005-06-28 00:00:00,99028379.95238097,0.9902837995238097
2005-06-29 00:00:00,98715802.95238097,0.9871580295238097
2005-06-30 00:00:00,95779154.95238096,0.9577915495238095
2005-07-01 00:00:00,90347375.95238097,0.9034737595238097
2005-07-04 00:00:00,88974947.95238097,0.8897494795238097
2005-07-05 00:00:00,88355920.95238097,0.8835592095238097
2005-07-06 00:00:00,88322776.95238097,0.8832277695238097
2005-07-07 00:00:00,88619007.95238097,0.8861900795238097
2005-07-08 00:00:00,84837710.95238097,0.8483771095238097
2005-07-11 00:00:00,83307250.95238096,0.8330725095238095
2005-07-12 00:00:00,86642314.95238097,0.8664231495238097
2005-07-13 00:00:00,85798610.95238097,0.8579861095238097
2005-07-14 00:00:00,85755945.95238097,0.8575594595238097
2005-07-15 00:00:00,83556333.95238096,0.8355633395238096
2005-07-18 00:00:00,81402185.95238096,0.8140218595238096
2005-07-19 00:00:00,82499816.95238096,0.8249981695238096
2005-07-20 00:00:00,83105623.95238096,0.8310562395238096
2005-07-21 00:00:00,82748337.95238096,0.8274833795238096
2005-07-22 00:00:00,85168455.95238097,0.8516845595238097
2005-07-25 00:00:00,84976442.95238097,0.8497644295238097
2005-07-26 00:00:00,87388727.95238097,0.8738872795238097
2005-07-27 00:00:00,89514070.95238097,0.8951407095238098
2005-07-28 00:00:00,89297430.95238097,0.8929743095238097
2005-07-29 00:00:00,88711801.95238097,0.8871180195238098
2005-08-01 00:00:00,89576240.95238096,0.8957624095238096
2005-08-02 00:00:00,91410895.95238097,0.9141089595238097
2005-08-03 00:00:00,92609280.95238097,0.9260928095238097
2005-08-04 00:00:00,91564710.95238097,0.9156471095238097
2005-08-05 00:00:00,94522479.95238097,0.9452247995238097
2005-08-08 00:00:00,95750707.95238097,0.9575070795238098
2005-08-09 00:00:00,98220260.95238097,0.9822026095238097
2005-08-10 00:00:00,99321907.95238097,0.9932190795238097
2005-08-11 00:00:00,100621554.95238097,1.0062155495238096
2005-08-12 00:00:00,98777716.95238097,0.9877771695238097
2005-08-15 00:00:00,101599040.95238097,1.0159904095238097
2005-08-16 00:00:00,101699168.95238097,1.0169916895238098
2005-08-17 00:00:00,104106175.95238097,1.0410617595238096
2005-08-18 00:00:00,99848468.95238097,0.9984846895238098
2005-08-19 00:00:00,99828817.95238097,0.9982881795238097
2005-08-22 00:00:00,101301774.95238096,1.0130177495238095
2005-08-23 00:00:00,99289913.95238097,0.9928991395238097
2005-08-24 00:00:00,100826689.95238097,1.0082668995238098
2005-08-25 00:00:00,102875501.95238097,1.0287550195238098
2005-08-26 00:00:00,103521044.95238097,1.0352104495238097
2005-08-29 00:00:00,102285616.95238097,1.0228561695238096
2005-08-30 00:00:00,101682210.95238097,1.0168221095238097
2005-08-31 00:00:00,101703396.14285716,1.0170339614285717
2005-09-01 00:00:00,104832194.7159864,1.048321947159864
2005-09-02 00:00:00,105922539.7159864,1.059225397159864
2005-09-05 00:00:00,108589775.7159864,1.085897757159864
2005-09-06 00:00:00,105507347.7159864,1.055073477159864
2005-09-07 00:00:00,108913476.7159864,1.089134767159864
2005-09-08 00:00:00,109231684.7159864,1.092316847159864
2005-09-09 00:00:00,107894607.7159864,1.078946077159864
2005-09-12 00:00:00,108487268.7159864,1.084872687159864
2005-09-13 00:00:00,111997890.7159864,1.119978907159864
2005-09-14 00:00:00,113319914.7159864,1.133199147159864
